log;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modelname;round name;time;valid loss;valid ppl;ppl;;;;Valid  perplexity ;Dropout 0.0;Dropout 0.2;Dropout 0.4;Dropout 0.6;Dropout 0.8;;;;;;;;;;;;;;;;;;;
Model 4;20;11.53;4.34;76.69;64.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;21;11.54;4.33;76.24;62.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;22;11.49;4.33;76.15;61.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;23;11.52;4.33;75.69;60.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;24;11.52;4.33;75.69;60.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;25;11.57;4.32;75.21;59.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;26;11.53;4.32;75.04;58.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;27;11.72;4.32;74.93;58.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;28;11.61;4.32;74.92;57.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;29;11.54;4.31;74.3;57.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;30;11.55;4.31;74.45;56.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;31;11.59;4.31;74.08;55.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;32;11.54;4.3;73.89;54.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;33;11.53;4.3;73.91;54.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;34;11.58;4.3;73.76;54.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;35;11.59;4.3;73.7;54.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;36;11.55;4.3;73.67;54.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;37;11.54;4.3;73.65;53.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;38;11.54;4.3;73.61;53.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;39;11.54;4.3;73.59;53.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model 4;40;11.55;4.3;73.62;53.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;1;10.88;5.49;242.23;618.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;2;12.15;5.21;183.88;269.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;3;11.99;5.09;162.94;215.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;4;11.98;5.03;153.22;194.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;5;12.1;4.99;146.96;180.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;6;11.26;4.94;139.49;173.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;7;11.12;4.91;136.29;167.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;8;11.15;4.89;133.36;161.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;9;11.2;4.87;130.35;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;10;11.26;4.85;128.34;155.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;11;11.24;4.84;127.08;153.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;12;11.2;4.83;125.15;150.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;13;11.28;4.82;123.82;148.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;14;11.22;4.81;122.22;146.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;15;11.24;4.8;121.4;146.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;16;11.23;4.79;120.8;144.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;17;11.28;4.77;118.2;142.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;18;11.24;4.77;117.73;142.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;19;11.27;4.78;119.05;141.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;20;11.27;4.73;113.6;134.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;21;11.3;4.73;112.94;128.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;22;11.31;4.72;111.97;125.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;23;11.28;4.71;111.34;123.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;24;11.29;4.71;110.67;121.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;25;11.3;4.7;109.89;120.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;26;11.32;4.69;109.34;120.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;27;11.32;4.69;108.71;118.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;28;11.32;4.69;108.55;117.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;29;11.32;4.68;107.94;117.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;30;11.31;4.67;107.16;115.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;31;11.34;4.67;107.11;115.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;32;11.36;4.67;106.59;114.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;33;11.37;4.66;105.63;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;34;11.28;4.66;105.58;112.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;35;11.32;4.65;104.97;112.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;36;11.35;4.65;104.79;111.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;37;11.32;4.65;104.43;111.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;38;11.32;4.65;104.19;110.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;39;11.37;4.64;103.93;110.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model5;40;11.39;4.64;103.25;109.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;
